dist,space,own,resp,Midbreak,LoopTask.thisRepN,LoopTask.thisTrialN,LoopTask.thisN,LoopTask.thisIndex,Bloc_1.thisRepN,Bloc_1.thisTrialN,Bloc_1.thisN,Bloc_1.thisIndex,KeyA,KeyB,Owner,Other,key_instruct.started,text_norm_2.started,image.started,picload.started,jitter,Mask_2.started,Mask_2.stopped,pos,space,col,name,trialtype,Stim.started,key_resp.keys,text_2.started,key_resp.started,participant,Owner,KeyA,threshold,date,expName,psychopyVersion,frameRate,
3,PPS,S,n,n,0,0,0,0,0,0,0,0,a,b,yellow,blue,12.369736099994043,12.369736099994043,12.369736099994043,0.04939390000072308,2,36.8698141000059,38.959359800006496,35,PPS,y,stim_35_y_u.jpg,test,38.959359800006496,None,,,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
1,PPS,S,y,n,0,0,0,0,0,1,1,1,a,,yellow,,,,,,2,41.3843940999941,43.47194899999886,25,PPS,y,stim_25_y_u.jpg,filler,43.47194899999886,None,45.91059379999933,45.91059379999933,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
1,PPS,S,n,n,0,0,0,0,0,2,2,2,a,,yellow,,,,,,2,47.11246889999893,49.184427300002426,25,PPS,y,stim_25_y_u.jpg,test,49.184427300002426,None,,,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
1,EPS,S,n,n,0,0,0,0,0,3,3,3,a,,yellow,,,,,,6,51.64169390000461,57.726897900007316,75,EPS,y,stim_75_y_u.jpg,test,57.726897900007316,None,,,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
1,PPS,O,n,n,0,0,0,0,0,4,4,4,a,,yellow,,,,,,6,60.16676229999575,66.25983650000126,25,PPS,b,stim_25_b_u.jpg,test,66.25983650000126,None,,,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
1,PPS,O,n,n,0,0,0,0,0,5,5,5,a,,yellow,,,,,,2,68.69234959999449,70.77395129999786,25,PPS,b,stim_25_b_u.jpg,test,70.77395129999786,None,,,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
1,PPS,S,n,n,0,0,0,0,0,6,6,6,a,,yellow,,,,,,4,73.22133090000716,77.31581800000276,25,PPS,y,stim_25_y_u.jpg,test,77.31581800000276,None,,,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
1,EPS,O,n,n,0,0,0,0,0,7,7,7,a,,yellow,,,,,,2,79.74886760000663,81.80589150000014,75,EPS,b,stim_75_b_u.jpg,test,81.80589150000014,None,,,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
3,BOUND,O,n,n,0,0,0,0,0,8,8,8,a,,yellow,,,,,,2,84.27762490000168,86.35189069999615,75,BOUND,b,stim_75_b_u.jpg,test,86.35189069999615,None,,,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
1,PPS,S,n,n,0,0,0,0,0,9,9,9,a,,yellow,,,,,,12,88.80729359999532,100.88991719999467,25,PPS,y,stim_25_y_u.jpg,test,100.88991719999467,None,,,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
1,PPS,O,n,n,0,0,0,0,0,10,10,10,a,,yellow,,,,,,4,103.3271589000069,107.42406770000525,25,PPS,b,stim_25_b_u.jpg,test,107.42406770000525,None,,,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
3,BOUND,S,y,n,0,0,0,0,0,11,11,11,a,,yellow,,,,,,2,109.85460469999816,111.93625159999647,25,BOUND,y,stim_25_y_u.jpg,filler,111.93625159999647,None,114.38021990000561,114.38021990000561,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
1,BOUND,S,n,n,0,0,0,0,0,12,12,12,a,,yellow,,,,,,2,115.58189370000036,117.67316479999863,25,BOUND,y,stim_25_y_u.jpg,test,117.67316479999863,None,,,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
1,PPS,O,n,n,0,0,0,0,0,13,13,13,a,,yellow,,,,,,4,120.11102700000629,124.2069349999947,25,PPS,b,stim_25_b_u.jpg,test,124.2069349999947,None,,,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
1,EPS,O,n,n,0,0,0,0,0,14,14,14,a,,yellow,,,,,,2,126.63848350000626,128.7279433000076,75,EPS,b,stim_75_b_u.jpg,test,128.7279433000076,None,,,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
1,EPS,S,n,n,0,0,0,0,0,15,15,15,a,,yellow,,,,,,6,131.167904300004,137.22985550000158,75,EPS,y,stim_75_y_u.jpg,test,137.22985550000158,None,,,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
1,PPS,S,n,n,0,0,0,0,0,16,16,16,a,,yellow,,,,,,2,139.69271930000104,141.7754530999955,25,PPS,y,stim_25_y_u.jpg,test,141.7754530999955,None,,,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
1,EPS,S,n,n,0,0,0,0,0,17,17,17,a,,yellow,,,,,,4,144.22176289999334,148.3142138999974,75,EPS,y,stim_75_y_u.jpg,test,148.3142138999974,None,,,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
2,PPS,O,n,n,0,0,0,0,0,18,18,18,a,,yellow,,,,,,2,150.74911980000616,152.83658610000566,30,PPS,b,stim_30_b_u.jpg,test,152.83658610000566,None,,,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
1,EPS,O,y,n,0,0,0,0,0,19,19,19,a,,yellow,,,,,,10,155.26157180000155,165.35215570000582,75,EPS,b,stim_75_b_u.jpg,filler,165.35215570000582,None,167.77990229999705,167.77990229999705,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
2,PPS,S,n,n,0,0,0,0,0,20,20,20,a,,yellow,,,,,,4,168.9825819999969,173.069464900007,30,PPS,y,stim_30_y_u.jpg,test,173.069464900007,None,,,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
2,PPS,S,n,n,0,0,0,0,0,21,21,21,a,,yellow,,,,,,2,175.50933640000585,177.59991200000513,30,PPS,y,stim_30_y_u.jpg,test,177.59991200000513,None,,,F0101,yellow,a,50,2023-09-29_09h02.36.910,Ownership,2023.1.2,59.99703614654599,
,,,,,,,,,,,,,,,,,,,,,8,180.03844960000424,,,,,,,,,,,,,,,,,,,
